 AB	Абхазия
 AU	Австралия
 AT	Австрия
 AZ	Азербайджан
 AL	Албания
 DZ	Алжир
 AS	Американское Самоа
 AI	Ангилья
 AO	Ангола
 AD	Андорра
 AQ	Антарктида
 AG	Антигуа и Барбуда
 AR	Аргентина
 AM	Армения
 AW	Аруба
 AF	Афганистан
 BS	Багамы
 BD	Бангладеш
 BB	Барбадос
 BH	Бахрейн
 BY	Беларусь
 BZ	Белиз
 BE	Бельгия
 BJ	Бенин
 BM	Бермуды
 BG	Болгария
 BO	Боливия
 BA	Босния и Герцеговина
 BW	Ботсвана
 BR	Бразилия
 BN	Бруней-Даруссалам
 BF	Буркина-Фасо
 BT	Бутан
 VU	Вануату
 HU	Венгрия
 VE	Венесуэла
 VG	Виргинские острова
 VN	Вьетнам
 GA	Габон
 HT	Гаити
 GY	Гайана
 GM	Гамбия
 GH	Гана
 GP	Гваделупа
 GT	Гватемала
 GN	Гвинея
 GW	Гвинея-Бисау
 DE	Германия
 GG	Гернси
 GI	Гибралтар
 HN	Гондурас
 HK	Гонконг
 GD	Гренада
 GL	Гренландия
 GR	Греция
 GE	Грузия
 GU	Гуам
 DK	Дания
 JE	Джерси
 DJ	Джибути
 DM	Доминика
 DO	Доминиканская Республика
 EG	Египет
 ZM	Замбия
 EH	Западная Сахара
 ZW	Зимбабве
 IL	Израиль
 IN	Индия
 ID	Индонезия
 JO	Иордания
 IQ	Ирак
 IR	Иран
 IE	Ирландия
 IS	Исландия
 ES	Испания
 IT	Италия
 YE	Йемен
 CV	Кабо-Верде
 KZ	Казахстан
 KH	Камбоджа
 CM	Камерун
 CA	Канада
 QA	Катар
 KE	Кения
 CY	Кипр
 KG	Киргизия
 KI	Кирибати
 CN	Китай
 CC	Кокосовые (Килинг) острова
 CO	Колумбия
 KM	Коморы
 CG	Конго
 Народно-Демократическая Республика	Корея
 KR	Корея
 CR	Коста-Рика
 CI	Кот д'Ивуар
 CU	Куба
 KW	Кувейт
 CW	Кюрасао
 LA	Лаос
 LV	Латвия
 LS	Лесото
 LB	Ливан
 LI	Лихтенштейн
 LT	Литва
 LU	Люксембург
 MG	Мадагаскар
 MY	Малайзия
 ML	Мали
 MV	Мальдивы
 MT	Мальта
 MA	Марокко
 MQ	Мартиника
 MH	Маршалловы острова
 MX	Мексика
 FM	Микронезия
 MZ	Мозамбик
 MD	Молдова
 MC	Монако
 MN	Монголия
 MS	Монтсеррат
 MMR	Мьянма
 NA	Намибия
 NR	Науру
 NP	Непал
 NE	Нигер
 NG	Нигерия
 NL	Нидерланды
 NI	Никарагуа
 NU	Ниуэ
 NZ	Новая Зеландия
 NO	Норвегия
 AE	Объединенные Арабские Эмираты
 OM	Оман
 PK	Пакистан
 PW	Палау
 PA	Панама
 PY	Парагвай
 PE	Перу
 PN	Питкерн
 PL	Польша
 PT	Португалия
 PR	Пуэрто-Рико
 MK	Македония
 RE	Реюньон
 RU	Россия
 RW	Руанда
 RO	Румыния
 WS	Самоа
 SM	Сан-Марино
 SA	Саудовская Аравия
 RS	Сербия
 SC	Сейшелы
 SG	Сингапур
 SX	Синт-Мартен
 SY	Сирия
 SK	Словакия
 SI	Словения
 GB	Великобритания
 US	Соединенные Штаты Америки
 SB	Соломоновы острова
 SO	Сомали
 SD	Судан
 SR	Суринам
 SL	Сьерра-Леоне
 TJ	Таджикистан
 TH	Таиланд
 TW	Тайвань
 TZ	Танзания
 TL	Тимор-Лесте
 TG	Того
 TK	Токелау
 TO	Тонга
 TT	Тринидад и Тобаго
 TV	Тувалу
 TN	Тунис
 TM	Туркмения
 TR	Турция
 UG	Уганда
 UZ	Узбекистан
 UA	Украина
 WF	Уоллис и Футуна
 UY	Уругвай
 FO	Фарерские острова
 FJ	Фиджи
 PH	Филиппины
 FI	Финляндия
 FK	Фолклендские острова
 FR	Франция
 HR	Хорватия
 TD	Чад
 ME	Черногория
 CZ	Чехия
 CL	Чили
 CH	Швейцария
 SE	Швеция
 LK	Шри-Ланка
 EC	Эквадор
 GQ	Экваториальная Гвинея
 AX	Эландские острова
 SV	Эль-Сальвадор
 ER	Эритрея
 SZ	Эсватини
 EE	Эстония
 ET	Эфиопия
 ZA	Южная Африка
 GS	Южная Джорджия и Южные Сандвичевы острова
 OS	Южная Осетия
 SS	Южный Судан
 JM	Ямайка
 JP	Япония
